"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"269_CinguloOpercular_mean",-0.0766094556076232,-0.117657727517248,-1.41705050316284,1.37750366575576,0,"Rejected"
"27_SomatomotorDorsal_mean",0.0451771261376537,0,-1.76599410711181,1.16596371921988,0,"Rejected"
"270_SomatomotorLateral_mean",-0.227293665782736,-0.466805874561653,-1.41698540195402,1.13702618095289,0,"Rejected"
"271_SomatomotorLateral_mean",-0.591919234690143,-1.05487647987923,-1.7192632406145,0.674282243864767,0,"Rejected"
"272_SomatomotorDorsal_mean",-0.223489452312786,-0.270553257471558,-2.15119903949918,1.31244907155124,0,"Rejected"
"273_SomatomotorDorsal_mean",-0.238044484981957,0,-1.81018692637634,1.4060617702549,0,"Rejected"
"274_CinguloOpercular_mean",-0.183126145414994,-0.135693754115393,-2.27684969197783,1.39522384713854,0,"Rejected"
"275_DorsalAttention_mean",-0.298393641318307,-0.668605474808741,-1.51173745000532,1.00100150250439,0,"Rejected"
"276_DorsalAttention_mean",-0.0207320006697562,-0.377712258954088,-1.55705595890114,1.6347892940111,0,"Rejected"
"277_DefaultMode_mean",1.20068150169841,1.22563264704618,-0.273785290872585,2.10908599618216,0,"Rejected"
"278_DefaultMode_mean",-0.258883486777935,-0.398334320857238,-1.68927201343712,0.89187793845651,0,"Rejected"
"28_SomatomotorDorsal_mean",0.21518843817453,0.690290434457301,-2.28675265488383,1.69612664661238,0,"Rejected"
"280_DefaultMode_mean",0.087548873628899,-0.392482516939851,-1.29072556098272,2.09537306629578,0,"Rejected"
"281_DefaultMode_mean",-0.300746670301927,-0.231845693604885,-1.40209495902621,1.00100150250438,0,"Rejected"
"282_DefaultMode_mean",-0.103788852186745,0,-1.36312824874907,1.22840616405666,0,"Rejected"
"283_Visual_mean",0.141518145741008,0.0503984231282104,-1.44827320285587,1.91120647722144,0,"Rejected"
"284_FrontoParietal_mean",0.00494913891790539,0.232434901234291,-1.33157315609784,1.66185907833293,0,"Rejected"
"285_FrontoParietal_mean",0.973584610268165,1.20468013869941,-1.45274042781037,2.36091722394218,0,"Rejected"
"286_FrontoParietal_mean",0.1161962228106,0.190162714454068,-1.00100150250438,1.28229015558047,0,"Rejected"
"287_FrontoParietal_mean",-0.163795866372171,-0.304239956442431,-1.52594749840063,1.59464513953547,0,"Rejected"
"289_FrontoParietal_mean",0.810513375736248,0.929181100443425,-0.313605114603918,2.11604770689073,0,"Rejected"
"29_SomatomotorDorsal_mean",0.110624972704028,0.0378550631827951,-1.72684126129572,1.72009850776196,0,"Rejected"
"290_FrontoParietal_mean",-0.0936991709322787,-0.601751714053379,-1.27282737136079,1.64150923340845,0,"Rejected"
"291_Salience_mean",0.12626182975567,0.403966239458123,-1.3922550572504,1.50182476341315,0,"Rejected"
"292_Salience_mean",-0.0573527715097075,-0.293308182231329,-1.29097225740616,1.38159086596925,0,"Rejected"
"293_CinguloOpercular_mean",-0.29162270447528,-0.559635055565969,-1.39537343282167,1.38152855712551,0,"Rejected"
"294_CinguloOpercular_mean",0.217098996637071,-0.13769552138964,-1.70536307368729,1.7274423902258,0,"Rejected"
"295_SomatomotorDorsal_mean",0.239271256949019,0.350647337836351,-1.50980234340754,1.90605844576782,0,"Rejected"
"296_SomatomotorDorsal_mean",0.285339028713036,0.222686581108853,-1.3690429991339,2.04716187844839,0,"Rejected"
"297_SomatomotorLateral_mean",0.163451922931204,0.198362873364166,-1.11002094635341,1.33836781703512,0,"Rejected"
"298_SomatomotorLateral_mean",0.0941768866809967,0.0559883204825705,-1.30232577160963,1.27813773002076,0,"Rejected"
"299_SomatomotorDorsal_mean",0.382024113084062,0.805083513422564,-1.74073422216322,1.77418196959379,0,"Rejected"
"3_unassigned_mean",0.234108529232112,0.540402656315127,-2.02574321998595,1.77229250226523,0,"Rejected"
"30_SomatomotorDorsal_mean",0.323544414425075,0.658788884284099,-1.67258344890036,1.6304427595479,0,"Rejected"
"300_SomatomotorDorsal_mean",-0.0310929965872189,0.0196343118158423,-1.40457073124205,1.27897836472813,0,"Rejected"
"31_SomatomotorDorsal_mean",-0.0415599090083604,-0.077333987582673,-1.80007203605127,1.86810971780645,0,"Rejected"
"32_SomatomotorDorsal_mean",0.340794759021889,0.799820354659593,-1.04717135471715,1.74313657201651,0,"Rejected"
"33_SomatomotorDorsal_mean",-0.241052558742563,-0.387797475065382,-1.51381032757924,0.99096222116052,0,"Rejected"
"34_SomatomotorDorsal_mean",0.238371830643268,0.389257922592434,-1.1655451001891,1.56461224065367,0,"Rejected"
"35_SomatomotorDorsal_mean",0.240727640060974,0.586922036857906,-1.65802354947007,1.51115506151552,0,"Rejected"
"36_SomatomotorDorsal_mean",-0.404237537916601,-0.386540689627121,-2.18349794820346,1.45371406170665,0,"Rejected"
"37_SomatomotorDorsal_mean",-0.296966351729011,-0.605047502320533,-1.39100519228254,1.00100150250438,0,"Rejected"
"38_SomatomotorDorsal_mean",0.080741967031837,0.0418570566716154,-1.29238462572494,1.72309236097569,0,"Rejected"
"39_SomatomotorDorsal_mean",-0.223254352756565,-0.404266059201779,-1.07920049269438,1.00100150250438,0,"Rejected"
"4_unassigned_mean",-0.0220120820922865,-0.165653364792078,-1.54211542392104,1.38387024651463,0,"Rejected"
"40_SomatomotorDorsal_mean",0.160993099793377,0.273276470872745,-1.15679433649825,1.45640914415516,0,"Rejected"
"41_SomatomotorDorsal_mean",0.151656670260365,0.368640474461706,-1.19944353854904,1.20562753229154,0,"Rejected"
"42_SomatomotorDorsal_mean",-0.286880292426318,-0.584129837377671,-1.66612541652595,1.89519410905915,0,"Rejected"
"43_SomatomotorDorsal_mean",0.117475161480939,0.238095377669489,-1.27555993189143,1.4330799914939,0,"Rejected"
"44_SomatomotorDorsal_mean",-0.177311396908284,-0.0703611477768783,-1.37297433972891,1.41379204631166,0,"Rejected"
"45_SomatomotorLateral_mean",-0.432963976401235,-0.76167734554863,-1.40868714779816,1.51814276554812,0,"Rejected"
"46_SomatomotorLateral_mean",0.472799082219599,0.984750226405258,-1.8881645392133,1.59773460710021,0,"Rejected"
"47_SomatomotorLateral_mean",-0.182475801051745,-0.185201159797705,-1.35542448786228,1.03563290889155,0,"Rejected"
"48_SomatomotorLateral_mean",0.0128536861143199,0.0879138007221749,-1.56942031185809,1.7048457561103,0,"Rejected"
"49_SomatomotorLateral_mean",0.140295066759382,0.418919965882151,-1.73035200950351,1.43013762167304,0,"Rejected"
"5_unassigned_mean",-0.0249477285064308,0.217427804852531,-1.61474176523587,1.78369899915869,0,"Rejected"
"50_CinguloOpercular_mean",-0.0564659833095417,0,-1.28349648144833,1.05018701327525,0,"Rejected"
"51_CinguloOpercular_mean",0.232980362490628,0.654893652869863,-1.00100150250438,1.1299742963066,0,"Rejected"
"52_CinguloOpercular_mean",-0.63933839736117,-0.988188688667485,-1.45962686827271,1.29654741619147,0,"Rejected"
"53_CinguloOpercular_mean",0.300748131270719,0.639046947830048,-1.62901149296191,1.5334538065923,0,"Rejected"
"54_CinguloOpercular_mean",-0.209773540428999,-0.358701839664494,-1.62025370101858,1.3933613390738,0,"Rejected"
"55_CinguloOpercular_mean",0.333333111546125,0.511591219111033,-1.85226858002246,1.8772014131975,0,"Rejected"
"56_CinguloOpercular_mean",-0.231045167047809,-0.386624331891921,-1.91337060146329,1.6352449825668,0,"Rejected"
"57_CinguloOpercular_mean",-0.196719334247072,-0.46352400646414,-1.71615767759575,1.3307957550765,0,"Rejected"
"58_CinguloOpercular_mean",-0.372546491237464,-0.581313798991627,-1.81307560925563,1.41277090564733,0,"Rejected"
"59_CinguloOpercular_mean",0.026980876396459,0,-1.4530813712602,1.14420441498447,0,"Rejected"
"6_unassigned_mean",-0.344926115481681,-0.177973476986534,-1.44235576927775,1.34406227991274,0,"Rejected"
"60_CinguloOpercular_mean",-0.154554371618214,-0.351034548579948,-1.33847910955194,1.42230922995123,0,"Rejected"
"61_CinguloOpercular_mean",0.365159590327849,0.587661620199609,-1.72457374757105,1.61775040807486,0,"Rejected"
"62_CinguloOpercular_mean",0.200047112569585,0,-1.13894896865746,1.66451752104389,0,"Rejected"
"63_CinguloOpercular_mean",-0.143814405612369,-0.462700477734787,-1.2377812605518,1.18799861534262,0,"Rejected"
"64_CinguloOpercular_mean",0.169686816810053,0.182924750253811,-1.58423758105547,1.47643572063789,0,"Rejected"
"66_CinguloOpercular_mean",-0.0982108975071339,-0.186297825846291,-1.76251312489613,1.45783963012119,0,"Rejected"
"67_CinguloOpercular_mean",0.0431164625571363,-0.0624156269510362,-1.24559428020976,2.05490482107343,0,"Rejected"
"68_CinguloOpercular_mean",0.202929655674716,0.561440896442457,-1.69194304417048,1.53104492443091,0,"Rejected"
"69_Auditory_mean",-0.0873333686897708,0,-1.51043307895629,1.39654931183056,0,"Rejected"
"7_unassigned_mean",-0.503253217026678,-1.00100150250438,-1.40792677337254,1.39409626683722,0,"Rejected"
"70_Auditory_mean",0.00761458587971245,0.0290347731105052,-1.48047190730823,1.00100150250438,0,"Rejected"
"71_Auditory_mean",-0.248373155278601,-0.0203174012453256,-1.37138345922911,1.0745948299242,0,"Rejected"
"72_Auditory_mean",-0.393545223207486,-0.61696155564142,-1.75711246492004,1.1517695696472,0,"Rejected"
"73_Auditory_mean",-0.358892874939948,-0.417149025315996,-1.99305161619404,1.25615715364797,0,"Rejected"
"74_Auditory_mean",-0.400343857515162,-0.647775289479485,-1.49689381012667,1.31124297997843,0,"Rejected"
"75_Auditory_mean",-0.067006066372361,0.0499432898774196,-1.71268896440506,1.67089304091311,0,"Rejected"
"76_Auditory_mean",-0.325706415521523,-0.75366787098356,-1.69991966607964,1.21668406096978,0,"Rejected"
"77_Auditory_mean",0.222375102404081,0.327059993533694,-1.41678081105039,1.41441218557934,0,"Rejected"
"78_Auditory_mean",-0.29955080014662,-0.645899534418657,-1.59835801356459,1.00100150250438,0,"Rejected"
"79_Auditory_mean",-0.114727413905313,-0.345946133444723,-1.05765828392264,1.00100150250438,0,"Rejected"
"8_unassigned_mean",-0.215237891891477,-0.241800915920433,-1.5585019600909,1.43770739009643,0,"Rejected"
"80_Auditory_mean",0.342824648909752,0.705050072851518,-1.70406838640005,1.29955956501775,0,"Rejected"
"81_DefaultMode_mean",-0.436958348578431,-0.512927123814135,-1.46411322652171,1.37997895932678,0,"Rejected"
"82_DefaultMode_mean",0.756330306593484,1.00100150250438,-0.825300279243863,1.85571341799911,0,"Rejected"
"83_DefaultMode_mean",0.48478042027457,1.00100150250438,-1.7158889679134,1.64193165712377,0,"Rejected"
"84_DefaultMode_mean",-0.168950581366865,-0.271845755749525,-1.43437909705175,1.19504805922911,0,"Rejected"
"85_DefaultMode_mean",0.0234438462149225,0.00689694237859566,-1.48573503313797,1.33452047303646,0,"Rejected"
"86_DefaultMode_mean",-0.104550106714892,-0.0997116272830542,-1.58586284605727,1.70700441027504,0,"Rejected"
"87_DefaultMode_mean",0.144982596193711,0.0294373425064976,-1.00100150250438,1.70449734616057,0,"Rejected"
"88_DefaultMode_mean",-0.194491178856787,-0.417820095901667,-1.53346577854515,1.68921017472527,0,"Rejected"
"89_DefaultMode_mean",-0.3497577812573,-0.247718513265659,-1.84019731378842,1.03181450734094,0,"Rejected"
"9_unassigned_mean",-0.346767181637534,-0.627003812913238,-1.4166738308989,1.309805933633,0,"Rejected"
"90_DefaultMode_mean",-0.0359648600317951,0,-1.06595639445639,1.38431830879603,0,"Rejected"
"91_DefaultMode_mean",-0.39748628450973,-0.532488144558884,-1.40205727060016,1.00100150250438,0,"Rejected"
"92_DefaultMode_mean",-0.333533757609197,-0.448497806692216,-1.6254714141278,1.00100150250438,0,"Rejected"
"93_DefaultMode_mean",-0.00342775219024687,-0.167845460369352,-1.52171130893149,1.54343606315299,0,"Rejected"
"94_DefaultMode_mean",-0.118495069817706,0,-1.4104004712744,1.69540382471197,0,"Rejected"
"95_DefaultMode_mean",0.255407818536542,0.291146288579214,-0.904360783360877,1.68455228944262,0,"Rejected"
"96_DefaultMode_mean",-0.272736958886924,-0.482272188460764,-1.54982241252599,1.82277868998946,0,"Rejected"
"97_DefaultMode_mean",-0.105097103906352,-0.0733022733569544,-1.29036696158529,1.76276191305703,0,"Rejected"
"98_DefaultMode_mean",-0.490383512692427,-0.941485620700873,-1.80174981678814,1.39394005573819,0,"Rejected"
"99_DefaultMode_mean",-0.181997051679943,-0.0967829779810604,-1.6532765751954,1.00100150250438,0,"Rejected"
"Unnamed: 0",-0.439655723768646,-0.862572220345473,-1.63415598669858,1.32559243214326,0,"Rejected"
"1_unassigned_var",0.17225306919764,0.395904678538072,-1.09813214478193,1.41705050316284,0,"Rejected"
"10_unassigned_var",-0.134703705964134,-0.703780276197575,-1.28320760635716,1.57309529089195,0,"Rejected"
"100_DefaultMode_var",-0.275227816168597,-0.392189846528747,-1.33478152013232,1.18608407749719,0,"Rejected"
"101_DefaultMode_var",-0.312898145903371,-0.637923889595967,-1.40453005460775,1.23089775666675,0,"Rejected"
"102_DefaultMode_var",-0.238986167381874,-0.273724400711792,-1.45562777329869,1.25272313169578,0,"Rejected"
"103_DefaultMode_var",-0.627532804606419,-1.01329759106364,-2.11555203049988,1.30327840615147,0,"Rejected"
"104_DefaultMode_var",-0.40455031213673,-0.872054544908873,-1.73265484315161,1.30303268712998,0,"Rejected"
"105_DefaultMode_var",-0.120220269596497,-0.0798502629890078,-1.31792091193587,1.41585234001185,0,"Rejected"
"106_DefaultMode_var",-0.45488617963479,-0.786717694191522,-1.68635250933754,1.37609801125023,0,"Rejected"
"107_DefaultMode_var",-0.439509893938622,-0.57644281345873,-1.58357997716334,1.00100150250438,0,"Rejected"
"108_DefaultMode_var",0.0949974058123493,-0.0140266383352368,-1.80087174381099,1.50885676226338,0,"Rejected"
"109_DefaultMode_var",-0.102720639536035,0,-1.27595746737646,1.41693653346005,0,"Rejected"
"11_unassigned_var",-0.224002659429984,-0.393398366040084,-1.23792181403801,1.32698623352657,0,"Rejected"
"110_DefaultMode_var",0.026021231109461,0.280550949313166,-1.57938945984088,1.49368696823405,0,"Rejected"
"111_DefaultMode_var",-0.232616441644252,-0.76998371930993,-1.48926432362269,1.37044069124542,0,"Rejected"
"112_DefaultMode_var",0.0619503436630736,-0.0495924454684752,-1.19750419305148,1.44938104110022,0,"Rejected"
"113_DefaultMode_var",-0.247991526535649,-0.136482715571386,-1.65199531061402,1.24198049403331,0,"Rejected"
"114_DefaultMode_var",-0.576661295509105,-0.898031979856833,-1.82907864780648,1.12054572442612,0,"Rejected"
"115_DefaultMode_var",-0.308963687732739,-0.344707863094174,-1.50746376476798,1.0743181655227,0,"Rejected"
"116_DefaultMode_var",-0.279762935707498,-0.26512841872037,-1.40864226708828,1.26354358630633,0,"Rejected"
"117_DefaultMode_var",-0.254754790894895,-0.627542833203478,-1.79664845056434,1.26076123595377,0,"Rejected"
"118_DefaultMode_var",0.0467212594350923,-0.104022790229207,-1.37929122716152,1.41110555286482,0,"Rejected"
"119_DefaultMode_var",-0.152820837418759,-0.160195137691247,-1.47321408692881,1.44540807064955,0,"Rejected"
"12_unassigned_var",-0.25156753283908,-0.579539801695844,-1.61519670766514,1.31533410441164,0,"Rejected"
"120_DefaultMode_var",0.489756315328528,0.791210290955292,-1.13807809088843,1.94851486758425,0,"Rejected"
"121_DefaultMode_var",0.0304842613841035,-0.185891711736866,-1.28412842546471,1.64385741477908,0,"Rejected"
"122_DefaultMode_var",-0.427183335982718,-0.959107577857286,-1.37139891632083,1.00100150250438,0,"Rejected"
"123_DefaultMode_var",-0.334877968094192,-0.4307804177835,-1.61547097043578,1.03238555197588,0,"Rejected"
"124_DefaultMode_var",-0.0539575492473468,0,-1.10039168460055,1.15421637865082,0,"Rejected"
"125_DefaultMode_var",0.136677900736997,0.172457148078413,-1.35863881789037,1.07550269990538,0,"Rejected"
"126_DefaultMode_var",0.119947718157375,0.207739492114851,-1.39255789339256,1.50421804677335,0,"Rejected"
"127_DefaultMode_var",-0.485699603955562,-0.584583789296602,-1.70634862179435,1.33563128669575,0,"Rejected"
"128_DefaultMode_var",-0.0448317738778068,0,-1.41443742113384,1.3292684928508,0,"Rejected"
"129_DefaultMode_var",-0.125282860792715,0,-1.20086373253535,1.00100150250438,0,"Rejected"
"13_SomatomotorDorsal_var",0.23063840018972,0.699797288828615,-1.62910728197389,1.62873079755003,0,"Rejected"
"130_DefaultMode_var",-0.195328708856554,-0.000292066189433585,-1.40567294121581,1.39801591380695,0,"Rejected"
"131_DefaultMode_var",-0.0272868159284456,-0.106469229781315,-1.0810920393676,1.52597812608014,0,"Rejected"
"132_DefaultMode_var",-0.136513079399438,-0.0959938993212967,-1.86887340724694,1.64742718294184,0,"Rejected"
"133_DefaultMode_var",-0.584765548258366,-0.993320578425022,-1.94372068559827,1.00100150250438,0,"Rejected"
"134_DefaultMode_var",-0.469160660192724,-0.76712978349964,-1.41278625440529,1.12059879715548,0,"Rejected"
"135_DefaultMode_var",1.12186389773005,1.34940633390975,-1.08935799433064,2.36774491953387,0,"Rejected"
"136_ParietoMedial_var",0.299138551018393,0.376984142712366,-1.5046698725235,1.05708221078691,0,"Rejected"
"137_ParietoMedial_var",-0.0521962767162447,-0.129062093954876,-1.34520047497601,1.80839340450466,0,"Rejected"
"138_ParietoMedial_var",-0.197759333187976,-0.489905035004434,-1.25181603187059,1.34638468874675,0,"Rejected"
"139_ParietoMedial_var",-0.127323474149217,0,-1.73631085097427,1.49415681627156,0,"Rejected"
"14_SomatomotorDorsal_var",0.0424606139477655,0.220695279077431,-1.20122346287496,1.42425529686785,0,"Rejected"
"140_ParietoMedial_var",0.109547025400321,0.138517466596643,-1.84759548775572,1.55691575728639,0,"Rejected"
"141_Visual_var",-0.382731572235327,-0.933815326618181,-1.31668133483364,1.19090955626033,0,"Rejected"
"142_Visual_var",-0.52495152583536,-0.849578940272904,-1.7535918566696,1.02938059785592,0,"Rejected"
"143_Visual_var",0.163501852609231,0.541465824591721,-1.44372791299917,1.65539951784188,0,"Rejected"
"144_Visual_var",-0.338101474651928,-0.217008458440943,-1.41078733022262,0.938220252820456,0,"Rejected"
"145_Visual_var",0.05182490385485,0,-1.46584361791367,2.06351550984629,0,"Rejected"
"146_Visual_var",-0.459790932258405,-0.658697613771139,-1.69274269388976,1.14537262986993,0,"Rejected"
"147_Visual_var",0.196882049618096,0.424967300134355,-1.66945152478655,1.40901339276876,0,"Rejected"
"148_Visual_var",-0.011294565119117,0.0968515009377425,-1.44207886497793,1.04775791465165,0,"Rejected"
"149_Visual_var",0.384410341617062,0.413985046146252,-1.56738983764913,1.8920532179988,0,"Rejected"
"15_SomatomotorDorsal_var",-0.298899287426184,-0.360640242240526,-1.36969677539058,1.48008368667655,0,"Rejected"
"150_Visual_var",-0.365526930243713,-0.471361470099136,-1.6084915617617,1.00100150250438,0,"Rejected"
"151_Visual_var",-0.0753050472841759,0,-1.22277823322744,1.60928350408451,0,"Rejected"
"152_Visual_var",-0.270604437925862,-0.431698837230455,-1.46152673675714,1.08771356973261,0,"Rejected"
"153_Visual_var",-0.0025589074090431,-0.173242297664758,-1.37436909840102,1.32278512001145,0,"Rejected"
"154_Visual_var",-0.152124826636169,0.076594579782864,-1.63704018536796,1.00100150250438,0,"Rejected"
"155_Visual_var",-0.287438726286975,-0.51263283132733,-1.52053084086838,1.46061108515134,0,"Rejected"
"156_Visual_var",0.284489286518938,0.255347675608285,-1.51398882626879,1.51648113449484,0,"Rejected"
"157_Visual_var",-0.00862358704405226,0.245258001440973,-1.66447686671972,1.44409198301296,0,"Rejected"
"158_Visual_var",-0.00775705930576031,-0.116966292707785,-1.48728457761127,1.42880601138146,0,"Rejected"
"159_Visual_var",0.581250636202056,0.402725619671376,-0.622724964932925,1.9027130960422,0,"Rejected"
"16_SomatomotorDorsal_var",0.231281844653901,0.122083253375986,-1.14893217795848,1.47770727784615,0,"Rejected"
"160_Visual_var",0.178970954930522,0.0291407985436327,-1.33111793621538,1.00100150250438,0,"Rejected"
"161_Visual_var",0.911638776276145,1.14220073065092,-0.880074784990356,2.00856202593083,0,"Rejected"
"162_Visual_var",0.666217457222528,0.72037362891476,-0.561724021109711,1.90711564800236,0,"Rejected"
"163_Visual_var",-0.245233402257965,-0.103335104838278,-1.34741188265359,1.00100150250438,0,"Rejected"
"165_Visual_var",-0.405456431945223,-0.921149769385175,-1.69397874051357,1.4843917826315,0,"Rejected"
"166_Visual_var",-0.359294604454174,-0.37543105378732,-1.71478880633824,1.17298021463309,0,"Rejected"
"167_Visual_var",-0.0908075370311876,-0.489116359409166,-1.71041193250575,1.70912494667281,0,"Rejected"
"168_Visual_var",-0.251226732007231,-0.761491824169679,-1.80000355013755,1.5560551102237,0,"Rejected"
"169_Visual_var",-0.183896972622048,-0.622870170584681,-1.00100150250438,1.51675209636465,0,"Rejected"
"17_SomatomotorDorsal_var",0.285144081109423,0.31561182273405,-1.04527553993517,1.8584665169918,0,"Rejected"
"170_Visual_var",-0.277078257840264,-0.465316182131685,-1.69990183234198,1.41299718035796,0,"Rejected"
"171_Visual_var",-0.0255575970130837,0.235753817458613,-1.42742569561433,1.5734342945812,0,"Rejected"
"172_Visual_var",-0.307891156411809,-0.821139306765036,-1.62259339987802,1.59503812412962,0,"Rejected"
"173_Visual_var",0.273493041323676,0.775808449791992,-1.47456696133009,1.81411296796943,0,"Rejected"
"174_Visual_var",-0.18448967290309,-0.169377384347085,-2.08951255992969,1.88416177610543,0,"Rejected"
"175_FrontoParietal_var",-0.0287084342864062,-0.00321733399159602,-1.84246014547645,1.92479063614201,0,"Rejected"
"176_FrontoParietal_var",-0.0155554737585311,-0.00891949461017804,-1.29833292768377,1.49377241825887,0,"Rejected"
"177_FrontoParietal_var",-0.435120220422436,-0.909779539286307,-1.48458399804309,1.83700269518261,0,"Rejected"
"178_FrontoParietal_var",-0.572113182537395,-0.640333701763407,-1.73683340042228,0.958000342351427,0,"Rejected"
"179_FrontoParietal_var",-0.297568738564069,-0.738414544095536,-1.41241954824671,1.59564003978484,0,"Rejected"
"18_SomatomotorDorsal_var",0.832905720930554,0.921825438707584,-0.587999300691819,1.78864653033598,0,"Rejected"
"180_FrontoParietal_var",0.18920862410164,0.449604256657799,-1.438270943254,1.58243610252738,0,"Rejected"
"181_FrontoParietal_var",0.183814593366365,0.430673731495734,-1.11841680966876,1.33339795607617,0,"Rejected"
"182_FrontoParietal_var",0.0173652847866893,0.179517624840609,-1.76445443461868,1.46767303919861,0,"Rejected"
